timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759157063574,0,POST /pet/{petId}/uploadImage,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 40: https://petstore3.swagger.io/api/v3/pet/{petId}/uploadImage,Thread Group 1-1,text,false,,1195,0,1,1,https://petstore3.swagger.io/api/v3/pet/{petId}/uploadImage,0,0,0
1759157063604,1947,POST /pet,400,Bad Request,Thread Group 1-1,text,false,,44901,210,1,1,https://petstore3.swagger.io/api/v3/pet,1386,0,1066
1759157065561,304,PUT /pet,400,Bad Request,Thread Group 1-1,text,false,,44899,209,1,1,https://petstore3.swagger.io/api/v3/pet,288,0,0
1759157065870,286,GET /pet/findByStatus,400,Bad Request,Thread Group 1-1,text,false,,459,203,1,1,https://petstore3.swagger.io/api/v3/pet/findByStatus,285,0,0
1759157066161,283,GET /pet/findByTags,400,Bad Request,Thread Group 1-1,text,false,,457,201,1,1,https://petstore3.swagger.io/api/v3/pet/findByTags,283,0,0
1759157066449,0,GET /pet/{petId},Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 40: https://petstore3.swagger.io/api/v3/pet/{petId},Thread Group 1-1,text,false,,1183,0,1,1,https://petstore3.swagger.io/api/v3/pet/{petId},0,0,0
1759157066452,0,POST /pet/{petId},Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 40: https://petstore3.swagger.io/api/v3/pet/{petId},Thread Group 1-1,text,false,,1183,0,1,1,https://petstore3.swagger.io/api/v3/pet/{petId},0,0,0
1759157066454,0,DELETE /pet/{petId},Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 40: https://petstore3.swagger.io/api/v3/pet/{petId},Thread Group 1-1,text,false,,1183,0,1,1,https://petstore3.swagger.io/api/v3/pet/{petId},0,0,0
1759157066460,284,GET /store/inventory,500,Internal Server Error,Thread Group 1-1,text,false,,501,202,1,1,https://petstore3.swagger.io/api/v3/store/inventory,284,0,0
1759157066749,283,POST /store/order,400,Bad Request,Thread Group 1-1,text,false,,409,218,1,1,https://petstore3.swagger.io/api/v3/store/order,283,0,0
1759157067036,0,GET /store/order/{orderId},Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 48: https://petstore3.swagger.io/api/v3/store/order/{orderId},Thread Group 1-1,text,false,,1193,0,1,1,https://petstore3.swagger.io/api/v3/store/order/{orderId},0,0,0
1759157067038,0,DELETE /store/order/{orderId},Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 48: https://petstore3.swagger.io/api/v3/store/order/{orderId},Thread Group 1-1,text,false,,1193,0,1,1,https://petstore3.swagger.io/api/v3/store/order/{orderId},0,0,0
1759157067041,284,POST /user/createWithList,400,Bad Request,Thread Group 1-1,text,false,,408,226,1,1,https://petstore3.swagger.io/api/v3/user/createWithList,284,0,0
1759157067329,0,GET /user/{username},Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 41: https://petstore3.swagger.io/api/v3/user/{username},Thread Group 1-1,text,false,,1187,0,1,1,https://petstore3.swagger.io/api/v3/user/{username},0,0,0
1759157067331,0,PUT /user/{username},Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 41: https://petstore3.swagger.io/api/v3/user/{username},Thread Group 1-1,text,false,,1187,0,1,1,https://petstore3.swagger.io/api/v3/user/{username},0,0,0
1759157067334,0,DELETE /user/{username},Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 41: https://petstore3.swagger.io/api/v3/user/{username},Thread Group 1-1,text,false,,1187,0,1,1,https://petstore3.swagger.io/api/v3/user/{username},0,0,0
1759157067336,284,GET /user/login,200,OK,Thread Group 1-1,text,true,,481,197,1,1,https://petstore3.swagger.io/api/v3/user/login,284,0,0
1759157067626,286,GET /user/logout,200,OK,Thread Group 1-1,text,true,,386,198,1,1,https://petstore3.swagger.io/api/v3/user/logout,286,0,0
1759157067915,283,POST /user/createWithArray,405,Method Not Allowed,Thread Group 1-1,text,false,,439,227,1,1,https://petstore3.swagger.io/api/v3/user/createWithArray,283,0,0
1759157068202,285,POST /user,400,Bad Request,Thread Group 1-1,text,false,,408,211,1,1,https://petstore3.swagger.io/api/v3/user,284,0,0
